term,n_genes_in_term,median_in,median_out,median_diff,mw_stat,p_value,q_value
High Voltage-Gated Calcium Channel Activity (GO:0008331),23,0.1656259174225574,0.05290272892522907,0.11272318849732832,202276.0,2.783607228073467e-05,0.0015052891394889594
Muscle Alpha-Actinin Binding (GO:0051371),14,0.21964208059874357,0.052919249686806724,0.16672283091193685,133635.0,3.760582171852559e-05,0.001888349476294535
Actinin Binding (GO:0042805),20,0.1523111381951271,0.052919249686806724,0.09939188850832037,175795.0,8.855326214758736e-05,0.004117700826444577
Monoatomic Ion Gated Channel Activity (GO:0022839),40,0.11074039796095603,0.05282106753169413,0.057919330429261895,316940.0,9.836817419726653e-05,0.004117700826444577
RNA Polymerase II-specific DNA-binding Transcription Factor Binding (GO:0061629),226,0.07641694391105247,0.05264781071338975,0.023769133197662717,1504545.5,9.957455768073657e-05,0.004117700826444577
GTPase Activator Activity (GO:0005096),210,0.07183211261149791,0.05271877117284918,0.019113341438648734,1404590.0,0.00011535682766568531,0.004505324991609821
Voltage-Gated Monoatomic Cation Channel Activity (GO:0022843),76,0.09966493118623604,0.05278780062296501,0.04687713056327103,556853.5,0.00012490620296848735,0.004621529509834032
Fibroblast Growth Factor Binding (GO:0017134),20,0.1578056827963925,0.052930497050060366,0.10487518574633214,173643.0,0.00015370504913039603,0.00540273247693342
Calcium Ion Binding (GO:0005509),342,0.07018168876622582,0.05260895675297879,0.017572732013247036,2185298.5,0.0002791553765746643,0.009345058558666143
Kinase Binding (GO:0019900),450,0.06222864661480321,0.05261705157197505,0.009611595042828158,2810934.0,0.00032037869437045904,0.009748899616655949
Chemorepellent Activity (GO:0045499),24,0.12027170748962879,0.05290881074331821,0.06736289674631057,199042.0,0.0003365830468386792,0.009748899616655949
Actin Monomer Binding (GO:0003785),23,0.12381419846021258,0.05291009133719582,0.07090410712301676,191773.0,0.0003491016971083281,0.009748899616655949
Myosin Binding (GO:0017022),54,0.09264916927494937,0.05288255581167611,0.03976661346327326,403830.0,0.0003544847217712638,0.009748899616655949
Protein Kinase Binding (GO:0019901),501,0.06184520898788781,0.05257317165880204,0.00927203732908577,3099579.0,0.0003605567425790251,0.009748899616655949
Monoatomic Cation Transmembrane Transporter Activity (GO:0008324),37,0.10670286346875724,0.052862382698123156,0.05384048077063408,288466.0,0.0004018073488144604,0.010461872822835765
"Oxidoreductase Activity, Acting On NAD(P)H, Quinone Or Similar Compound As Acceptor (GO:0016655)",15,0.14113765643698614,0.0529325860637031,0.08820507037328304,132594.0,0.00048315991407695084,0.012130764985574872
Metal Ion Transmembrane Transporter Activity (GO:0046873),29,0.08811817318413123,0.052862382698123156,0.035255790486008076,231990.0,0.0005191605294407728,0.012585167317133215
Insulin-Like Growth Factor Binding (GO:0005520),15,0.2717336557432457,0.0529325860637031,0.2188010696795426,131800.0,0.0005971288281338438,0.01359906877002084
Voltage-Gated Sodium Channel Activity (GO:0005248),19,0.10883274272485455,0.05290753014944061,0.05592521257541394,160818.0,0.0005996744407832803,0.01359906877002084
Metalloendopeptidase Activity (GO:0004222),99,0.07434324071613563,0.05278418978722377,0.02155905092891186,691550.0,0.000639174803169258,0.01376884847155772
Ligand-Gated Monoatomic Ion Channel Activity (GO:0015276),23,0.11947270631727314,0.05290753014944061,0.06656517616783253,188868.0,0.0006562697192875578,0.01376884847155772
Endopeptidase Inhibitor Activity (GO:0004866),109,0.08884184580179805,0.05290272892522907,0.03593911687656898,754739.0,0.000665918702749591,0.01376884847155772
Metalloendopeptidase Inhibitor Activity (GO:0008191),13,0.2078539565856502,0.052939751649982825,0.15491420493566738,116145.0,0.0007604939259571636,0.015275063712796744
Vascular Endothelial Growth Factor Receptor Binding (GO:0005172),12,0.17697680630639626,0.052935947338161135,0.12404085896823512,108140.0,0.0008920623196982176,0.01741999474299575
GTPase Binding (GO:0051020),221,0.06576924169744292,0.05270391424766374,0.013065327449779174,1441902.0,0.001018309235655963,0.0193478754774633
SH3 Domain Binding (GO:0017124),58,0.08670957056168882,0.052848845928602506,0.033860724633086314,422136.0,0.0010769661632881822,0.01992387402083137
Titin Binding (GO:0031432),12,0.12724258324321497,0.052935947338161135,0.07430663590505383,107261.0,0.0011447410495179114,0.020634691225925428
Aldehyde Dehydrogenase [NAD(P)+] Activity (GO:0004030),14,0.1202857601093974,0.052935947338161135,0.06734981277123626,121351.0,0.0013504296619597286,0.0231549281062851
Aldehyde Dehydrogenase (NAD+) Activity (GO:0004029),14,0.1202857601093974,0.052935947338161135,0.06734981277123626,121351.0,0.0013504296619597286,0.0231549281062851
Transmitter-Gated Monoatomic Ion Channel Activity Involved In Regulation Of Postsynaptic Membrane Potential (GO:1904315),34,0.1305417409907432,0.05290881074331821,0.07763293024742499,260725.5,0.0013876052199171306,0.02322586832385102
Metal Ion Binding (GO:0046872),516,0.06457863871129876,0.052633193312695614,0.01194544539860315,3154300.5,0.0014213439144819906,0.02323732027629859
Guanyl-Nucleotide Exchange Factor Activity (GO:0005085),202,0.0711137972862439,0.05277030819654513,0.018343489089698767,1318270.0,0.001784325771724847,0.02839869245483745
Sodium Channel Activity (GO:0005272),37,0.09836878452896469,0.05290272892522907,0.04546605560373562,279140.0,0.0018473112602329694,0.02839869245483745
Transcription Coregulator Binding (GO:0001221),99,0.07624173577761884,0.052768254690807426,0.02347348108681141,680510.0,0.0018932654387634955,0.02839869245483745
Purine Ribonucleoside Triphosphate Binding (GO:0035639),468,0.06168295318557246,0.05262666692191842,0.00905628626365404,2876353.5,0.001898632354733087,0.02839869245483745
Growth Factor Activity (GO:0008083),83,0.08474310668697976,0.05290272892522907,0.03184037776175069,578354.5,0.001990205930326706,0.029148224354576546
Neurotransmitter Receptor Activity Involved In Regulation Of Postsynaptic Membrane Potential (GO:0099529),21,0.14472378859013896,0.05292840803641763,0.09179538055372133,169038.0,0.002175963604476153,0.030699764565635796
Protein Tyrosine Kinase Activator Activity (GO:0030296),29,0.10787678834667047,0.05292840803641763,0.05494838031025284,224078.0,0.00218348254378633,0.030699764565635796
Ligand-Gated Channel Activity (GO:0022834),12,0.15256478622334047,0.052935947338161135,0.09962883888517933,104567.0,0.002381488847287459,0.03282718940476635
Glutamate Receptor Binding (GO:0035254),18,0.09555616613163653,0.052930497050060366,0.04262566908157617,147389.0,0.002477881929958454,0.033499057630015254
Vinculin Binding (GO:0017166),10,0.1431317747916978,0.052939530131300996,0.09019224466039681,89531.0,0.0025827545201821582,0.03356503237014034
Guanyl Ribonucleotide Binding (GO:0032561),223,0.06740875643844718,0.052730870706857,0.014677885731590179,1439369.0,0.0025883923894818206,0.03356503237014034
Monoatomic Ion Channel Activity (GO:0005216),37,0.10670286346875724,0.05291009133719582,0.05379277213156142,276570.0,0.0027217269568583276,0.03356503237014034
Semaphorin Receptor Binding (GO:0030215),22,0.10117318976449685,0.052919249686806724,0.04825394007769013,174732.0,0.0027806368599032016,0.03356503237014034
Small GTPase Binding (GO:0031267),195,0.06552190934086743,0.052768254690807426,0.012753654650060009,1268978.0,0.002788428340394391,0.03356503237014034
Ion Channel Inhibitor Activity (GO:0008200),34,0.08775018096967335,0.05290881074331821,0.03484137022635514,256295.0,0.0028080343522902612,0.03356503237014034
Insulin-Like Growth Factor I Binding (GO:0031994),12,0.280036219609769,0.052939530131300996,0.227096689478468,103898.0,0.0028355422732415365,0.03356503237014034
Metallopeptidase Activity (GO:0008237),122,0.0689960426954277,0.052799506114194594,0.0161965365812331,820016.0,0.0028852739545482072,0.03356503237014034
Protein Serine/Threonine Kinase Activity (GO:0004674),339,0.06252775153397905,0.05270667163884135,0.009821079895137697,2124394.5,0.002928342891324954,0.03356503237014034
BMP Binding (GO:0036122),15,0.18998583339978303,0.052939751649982825,0.1370460817498002,125235.5,0.0030258005186566727,0.03356503237014034
Notch Binding (GO:0005112),24,0.10560384090067854,0.052919249686806724,0.05268459121387181,188050.0,0.0030311097577370573,0.03356503237014034
alditol:NADP+ 1-Oxidoreductase Activity (GO:0004032),10,0.15476473196983542,0.052939530131300996,0.10182520183853443,88938.0,0.0030557070721038146,0.03356503237014034
Monoatomic Cation Channel Activity (GO:0005261),103,0.07646077552058772,0.05278418978722377,0.023676585733363953,699524.5,0.003316832376835833,0.03587281786023986
Cadherin Binding Involved In Cell-Cell Adhesion (GO:0098641),17,0.11241351212117134,0.0529325860637031,0.05948092605746824,138758.0,0.0034812884502460955,0.03681637522209398
Intracellular Calcium Activated Chloride Channel Activity (GO:0005229),17,0.10380599580467353,0.0529325860637031,0.05087340974097043,138721.0,0.003508815277212371,0.03681637522209398
cAMP-dependent Protein Kinase Regulator Activity (GO:0008603),10,0.14010469449784102,0.052935947338161135,0.08716874715967989,88313.0,0.0036373267570775384,0.03748979627042392
Protein Kinase Activator Activity (GO:0030295),88,0.07109995730464469,0.05288255581167611,0.018217401492968577,603680.0,0.003732270922082972,0.03748979627042392
Amino Acid Transmembrane Transporter Activity (GO:0015171),55,0.07591630687181328,0.05290753014944061,0.02300877672237267,392477.5,0.0037329811364575733,0.03748979627042392
Potassium Channel Activity (GO:0005267),79,0.09175968134624105,0.052862382698123156,0.03889729864811789,546360.5,0.003816222595178217,0.037785978653666
"Oxidoreductase Activity, Acting On The Aldehyde Or Oxo Group Of Donors, NAD Or NADP As Acceptor (GO:0016620)",20,0.11249806568917675,0.052930497050060366,0.059567568639116386,158989.0,0.004009288722630645,0.0386421952986812
Carbonate Dehydratase Activity (GO:0004089),12,0.1529857116922969,0.052947179327972035,0.10003853236432488,102532.0,0.004012631944244278,0.0386421952986812
Frizzled Binding (GO:0005109),33,0.07629690593369576,0.05292840803641763,0.02336849789727813,246889.0,0.004240188531472412,0.040281791048987915
GDP Binding (GO:0019003),65,0.07731737102463265,0.05280760076968294,0.024509770254949714,454395.0,0.0049619365905981564,0.04577505897679355
Transforming Growth Factor Beta Receptor Activity (GO:0005024),10,0.18529156211853903,0.052939530131300996,0.13235203198723805,87133.0,0.005012166107698132,0.04577505897679355
Chemokine Binding (GO:0019956),17,0.12301069245360113,0.05292840803641763,0.0700822844171835,137012.0,0.005013768906419777,0.04577505897679355
Ionotropic Glutamate Receptor Binding (GO:0035255),11,0.09575277079160638,0.05293930861261917,0.04281346217898721,93693.0,0.006009397933699024,0.05416162496654377
Phosphatase Binding (GO:0019902),109,0.07362402832093018,0.05290272892522907,0.02072129939570111,728856.0,0.0065375867780295025,0.05817624689816127
Phospholipase A1 Activity (GO:0008970),14,0.09398596630828635,0.052930497050060366,0.04105546925822598,114499.0,0.0068546592278639065,0.060235317964854075
Epidermal Growth Factor Receptor Binding (GO:0005154),25,0.10285690654230617,0.05292840803641763,0.04992849850588854,190008.0,0.006981597419681594,0.060593370197977295
Potassium Ion Transmembrane Transporter Activity (GO:0015079),31,0.09355532777544906,0.05292840803641763,0.04062691973903143,229986.5,0.007190515522272501,0.06164551722143376
PDZ Domain Binding (GO:0030165),60,0.07249916572530712,0.05288255581167611,0.01961660991363101,418050.0,0.007791792932821586,0.06599554737076596
Intracellular Chloride Channel Activity (GO:0061778),18,0.10248022664908862,0.052935947338161135,0.04954427931092749,141517.0,0.008077026021305512,0.06759701539259257
Alkali Metal Ion Binding (GO:0031420),14,0.11469990976214817,0.052947179327972035,0.06175273043417613,113630.0,0.00826656953691312,0.06767449465326171
Carboxylic Acid Transmembrane Transporter Activity (GO:0046943),59,0.07264315362772567,0.05290753014944061,0.019735623478285058,411014.5,0.00832225357456063,0.06767449465326171
Low-Density Lipoprotein Particle Binding (GO:0030169),16,0.12565436987160228,0.052935947338161135,0.07271842253344114,127513.0,0.008375079708156144,0.06767449465326171
Protein Phosphatase Regulator Activity (GO:0019888),60,0.07459812546693612,0.05290512953733484,0.021692995929601278,416854.5,0.008814013382778695,0.06880247159312759
Transmitter-Gated Monoatomic Ion Channel Activity (GO:0022824),40,0.11537241530791395,0.052935947338161135,0.062436467969752815,287714.0,0.00885938343303856,0.06880247159312759
GDP-dissociation Inhibitor Activity (GO:0005092),12,0.11240268446261636,0.052939530131300996,0.05946315433131537,99209.0,0.008876362963751319,0.06880247159312759
Lipoprotein Particle Binding (GO:0071813),23,0.10060749425268489,0.0529325860637031,0.04767490818898179,174966.0,0.008993229973092029,0.06880247159312759
Excitatory Extracellular Ligand-Gated Monoatomic Ion Channel Activity (GO:0005231),26,0.11061164954625213,0.052930497050060366,0.05768115249619177,195126.5,0.009004021887009585,0.06880247159312759
DNA-binding Transcription Factor Binding (GO:0140297),280,0.060642712812357225,0.05277030819654513,0.007872404615812095,1754720.0,0.009306499043627724,0.07034912717925043
Adenyl Ribonucleotide Binding (GO:0032559),303,0.06038806087861959,0.05277801549745487,0.007610045381164721,1888438.5,0.009836789406687583,0.07356662715852522
Phospholipase C Activity (GO:0004629),23,0.11200041390102022,0.05292840803641763,0.059072005864602595,174245.0,0.010117765959390432,0.07487146809948919
Calcium Channel Activity (GO:0005262),89,0.06852547700063916,0.052834534293705326,0.01569094270693383,598386.0,0.010323080171737624,0.07496856248968654
Cyclic Nucleotide Binding (GO:0030551),21,0.09100420472658144,0.0529325860637031,0.03807161866287834,160605.5,0.010344168650781785,0.07496856248968654
Acetylcholine Receptor Activity (GO:0015464),20,0.13329860951940348,0.052935947338161135,0.08036266218124234,153605.5,0.010739503575643837,0.07703950013956753
Hydro-Lyase Activity (GO:0016836),45,0.06842485447409663,0.0529325860637031,0.015492268410393528,317593.0,0.01205634175094813,0.08561220455471248
Acetylcholine-Gated Monoatomic Cation-Selective Channel Activity (GO:0022848),16,0.14203942596805283,0.052939530131300996,0.08909989583675183,125540.5,0.012286641231378398,0.08601621340317862
Protease Binding (GO:0002020),123,0.06263838487014572,0.05291009133719582,0.009728293532949905,806798.0,0.012357948156075448,0.08601621340317862
Protein Phosphatase Binding (GO:0019903),115,0.07001029778854351,0.05290272892522907,0.017107568863314437,757347.0,0.01251419556928869,0.08624979887460735
Phospholipase Activity (GO:0004620),76,0.07574364863068686,0.052848845928602506,0.022894802702084355,514127.0,0.012986215845844775,0.08863407514202794
Delayed Rectifier Potassium Channel Activity (GO:0005251),28,0.11397904609859061,0.052930497050060366,0.06104854904853024,205799.0,0.013316300621174577,0.09001307054505507
ATP Binding (GO:0005524),274,0.060728362951121495,0.052782108204043665,0.00794625474707783,1711540.0,0.01344913877907807,0.09004518630182745
Metalloexopeptidase Activity (GO:0008235),55,0.07506832902859939,0.0529325860637031,0.022135742964896288,380568.5,0.013716904817764995,0.09097154798951691
Ionotropic Glutamate Receptor Activity (GO:0004970),16,0.12315881034343867,0.052935947338161135,0.07022286300527754,124408.0,0.015181941475505117,0.09895404103655273
Carboxylic Acid Binding (GO:0031406),17,0.09590109887212572,0.0529325860637031,0.04296851280842262,131226.0,0.015202043288688042,0.09895404103655273
Filamin Binding (GO:0031005),10,0.10784609144155721,0.052939530131300996,0.054906561310256216,82634.0,0.015411485926550101,0.09917784097779068
Calmodulin-Dependent Protein Kinase Activity (GO:0004683),23,0.09414825232299728,0.05292840803641763,0.041219844286579654,171528.0,0.015528149723261777,0.09917784097779068
GABA Receptor Activity (GO:0016917),21,0.11127212429855476,0.05293930861261917,0.058332815685935596,158087.0,0.015659659101756422,0.09917784097779068
FAD Binding (GO:0071949),25,0.10549130271785678,0.0529325860637031,0.05255871665415368,184690.0,0.015885263385568706,0.09970839428620357
GABA-A Receptor Activity (GO:0004890),18,0.11229957128784715,0.052939530131300996,0.05936004115654615,137637.0,0.016252218645149193,0.10046285343924062
Metallocarboxypeptidase Activity (GO:0004181),28,0.09729405048739276,0.052939530131300996,0.04435452035609176,204279.5,0.016466261241893307,0.10046285343924062
Protein Kinase C Binding (GO:0005080),36,0.07979877543417424,0.05290881074331821,0.026889964690856027,256595.0,0.01652712888118962,0.10046285343924062
Sterol Binding (GO:0032934),59,0.06978683836008548,0.052862382698123156,0.016924455661962323,404081.0,0.016577085347015522,0.10046285343924062
cGMP Binding (GO:0030553),10,0.12252735816396498,0.052947179327972035,0.06958017883599295,82218.5,0.016962378884384188,0.10191925090360755
Non-Membrane Spanning Protein Tyrosine Kinase Activity (GO:0004715),36,0.09300909563718007,0.052919249686806724,0.04008984595037335,256249.0,0.017233815863348854,0.10267264874520546
Phosphatidylinositol-5-Phosphate Binding (GO:0010314),16,0.09047471074156771,0.052935947338161135,0.037538763403406575,123468.0,0.018012758624333988,0.10641150683114951
Phosphatidate Phosphatase Activity (GO:0008195),13,0.09664673922236855,0.052939751649982825,0.043706987572385725,102745.0,0.01854578073710366,0.10731792651906027
Serine-Type Endopeptidase Activity (GO:0004252),122,0.06773221337689458,0.05282106753169413,0.014911145845200452,794558.5,0.01858022962973733,0.10731792651906027
Protein Homodimerization Activity (GO:0042803),658,0.056967346246897366,0.052779021059159215,0.004188325187738151,3863944.5,0.018624163634886705,0.10731792651906027
Adrenergic Receptor Binding (GO:0031690),14,0.08984568304322693,0.052939530131300996,0.036906152911925935,109208.0,0.020104072375655424,0.11490376325272977
Transcription Coactivator Binding (GO:0001223),34,0.0760643683796457,0.052919249686806724,0.023145118692838973,241816.0,0.02051517065308247,0.11630778200900786
Sialyltransferase Activity (GO:0008373),20,0.09143062889936349,0.052935947338161135,0.03849468156120235,149559.0,0.020925201708056663,0.11768333440611067
Intracellular Cyclic Nucleotide Activated Monoatomic Cation Channel Activity (GO:0005221),10,0.12290509647379479,0.052939530131300996,0.06996556634249379,81183.5,0.021415880158777278,0.11884822327412728
"Inositol 1,4,5 Trisphosphate Binding (GO:0070679)",10,0.09685354014512869,0.052939530131300996,0.04391401001382769,81172.0,0.02147044716332029,0.11884822327412728
GTP Binding (GO:0005525),198,0.06493430437130532,0.052779021059159215,0.012155283312146103,1250770.5,0.022223467515601694,0.12205545049584367
Glycerophospholipid Flippase Activity (GO:0140333),10,0.1378207350673053,0.052947179327972035,0.08487355573933326,80798.0,0.023310199447510036,0.12703155202790353
Inorganic Cation Transmembrane Transporter Activity (GO:0022890),35,0.08811817318413123,0.05292840803641763,0.0351897651477136,247123.0,0.023585213953392557,0.12711105872018916
Lipid Kinase Activity (GO:0001727),21,0.08040571180378597,0.0529325860637031,0.02747312574008287,155421.0,0.02368641350262415,0.12711105872018916
Carboxypeptidase Activity (GO:0004180),37,0.0764397291180865,0.05293930861261917,0.02350042050546733,259713.5,0.024474644326397735,0.1303460224352849
"Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, NAD(P)H As One Donor, And Incorporation Of One Atom Of Oxygen (GO:0016709)",26,0.07099248400884713,0.052919249686806724,0.018073234322040402,188098.0,0.024852942522342755,0.13136555333238312
Phosphatase Activity (GO:0016791),81,0.06744204463627357,0.05290272892522907,0.014539315711044498,536827.0,0.02597185248074081,0.13600106818612115
SH2 Domain Binding (GO:0042169),31,0.07955785791359737,0.0529325860637031,0.026625271849894272,220344.0,0.026116848086950716,0.13600106818612115
Double-Stranded RNA Binding (GO:0003725),65,0.06783971043457004,0.05290753014944061,0.014932180285129437,436706.0,0.026434101789358375,0.13605871417058615
Basic Amino Acid Transmembrane Transporter Activity (GO:0015174),16,0.1001515058412441,0.052947179327972035,0.04720432651327207,121251.0,0.026514998351878098,0.13605871417058615
Endopeptidase Activity (GO:0004175),325,0.06081412591706936,0.05278002662086356,0.008034099296205799,1992298.5,0.026770703976329538,0.13637539779246133
Voltage-Gated Potassium Channel Activity (GO:0005249),80,0.08453527672857108,0.05290881074331821,0.03162646598525287,530058.0,0.027081109447741912,0.13696417224289614
Transmembrane Receptor Protein Serine/Threonine Kinase Binding (GO:0070696),10,0.13576836194311137,0.052947179327972035,0.08282118261513934,79980.5,0.027796777776391446,0.13777127667409564
BMP Receptor Binding (GO:0070700),10,0.13576836194311137,0.052947179327972035,0.08282118261513934,79980.5,0.027796777776391446,0.13777127667409564
CXCR Chemokine Receptor Binding (GO:0045236),16,0.10664078042057593,0.052935947338161135,0.05370483308241479,120964.0,0.02782862203089841,0.13777127667409564
Receptor Ligand Activity (GO:0048018),313,0.05858054806701751,0.0529325860637031,0.005647962003314411,1921096.5,0.028609948504201618,0.13961692877357867
Serine-Type Peptidase Activity (GO:0008236),139,0.06742299355921044,0.05280760076968294,0.014615392789527504,891016.5,0.0287009533226718,0.13961692877357867
Calcium Ion Transmembrane Transporter Activity (GO:0015085),66,0.07209773569054645,0.052848845928602506,0.019248889761943944,441945.0,0.028797232819585926,0.13961692877357867
"Phosphatidylinositol-3,4,5-Trisphosphate Binding (GO:0005547)",36,0.07810534693848248,0.052935947338161135,0.025169399600321343,251602.0,0.029510112048475676,0.14134189801095456
Phospholipase A2 Activity (GO:0004623),31,0.08389874210298742,0.05291009133719582,0.030988650765791603,219319.0,0.029555133723485522,0.14134189801095456
Postsynaptic Neurotransmitter Receptor Activity (GO:0098960),19,0.08510794931639465,0.05293930861261917,0.03216864070377548,140524.5,0.030163859217178773,0.14327833128159917
Transmembrane Receptor Protein Serine/Threonine Kinase Activity (GO:0004675),15,0.11808575804130506,0.052939751649982825,0.06514600639132223,113611.0,0.03088579876926688,0.14572292976372225
Protein Serine/Threonine Kinase Inhibitor Activity (GO:0030291),32,0.11166574858182388,0.052919249686806724,0.05874649889501715,225030.0,0.03230243598550551,0.15139074998540247
GTPase Inhibitor Activity (GO:0005095),12,0.11477088575745509,0.052939530131300996,0.06183135562615409,92953.0,0.032657924521607026,0.15140401401238068
Nuclear Receptor Binding (GO:0016922),115,0.0649798226855598,0.05279141145870625,0.012188411226853546,742768.0,0.03273600302970393,0.15140401401238068
Protein Phosphatase Inhibitor Activity (GO:0004864),26,0.06804712724066264,0.052958109710177906,0.015089017530484736,185593.0,0.03446588157474176,0.15836284148394417
Voltage-Gated Potassium Channel Activity Involved In Cardiac Muscle Cell Action Potential Repolarization (GO:0086008),14,0.09095489553358038,0.052958109710177906,0.037996785823402476,106162.0,0.034859284405350695,0.15913036972052946
MAP-kinase Scaffold Activity (GO:0005078),10,0.13242741121651225,0.052947179327972035,0.07948023188854021,78814.0,0.03542469228975329,0.1597327036011764
Growth Factor Receptor Binding (GO:0070851),95,0.06332767148261431,0.05293930861261917,0.010388362869995144,618975.5,0.03544566395701781,0.1597327036011764
Aldo-Keto Reductase (NADP) Activity (GO:0004033),13,0.11984521144764826,0.052939751649982825,0.06690545979766543,99120.0,0.03664695834407203,0.16227860748547474
Phosphatidylcholine Transporter Activity (GO:0008525),17,0.08905103485501398,0.05293930861261917,0.03611172624239481,125931.0,0.036767649945147245,0.16227860748547474
P-type Ion Transporter Activity (GO:0015662),11,0.1160754320913826,0.052939751649982825,0.06313568044139978,85479.0,0.036885632730877714,0.16227860748547474
Flavin Adenine Dinucleotide Binding (GO:0050660),54,0.07365280830227139,0.05290881074331821,0.020743997558953176,363693.0,0.036933964719311464,0.16227860748547474
Calcium Activated Cation Channel Activity (GO:0005227),18,0.07608101944496946,0.052935947338161135,0.02314507210680833,132478.0,0.03731056484755836,0.16264095271300227
Phosphotyrosine Residue Binding (GO:0001784),39,0.08045169077944797,0.05292840803641763,0.02752328274303034,268562.0,0.03750068217207519,0.16264095271300227
Ephrin Receptor Binding (GO:0046875),21,0.10515561886055957,0.05293930861261917,0.052216310247940406,152206.0,0.03771049116958659,0.16264095271300227
Exopeptidase Activity (GO:0008238),52,0.0704871889853056,0.052947179327972035,0.017540009657333558,350754.0,0.038088406457431896,0.16326920572911355
Hyaluronic Acid Binding (GO:0005540),12,0.08885994324235108,0.052939530131300996,0.035920413111050084,91954.0,0.039303007604229626,0.16745463239862682
UDP-galactosyltransferase Activity (GO:0035250),18,0.08146064696297922,0.052939530131300996,0.028521116831678225,131999.0,0.040077165186972984,0.16923544523795186
Calcium Channel Inhibitor Activity (GO:0019855),10,0.10670019716485368,0.052947179327972035,0.05375301783688165,78166.0,0.040355419661246617,0.16923544523795186
Calcium Channel Regulator Activity (GO:0005246),37,0.06767762909994257,0.052939751649982825,0.014737877449959746,255066.0,0.04044317894733416,0.16923544523795186
Myosin II Binding (GO:0045159),10,0.1084635357586643,0.052958109710177906,0.05550542604848639,77858.0,0.04288718426155406,0.17773442015345495
Secondary Active Transmembrane Transporter Activity (GO:0015291),58,0.0741892844725538,0.052930497050060366,0.02125878742249343,386988.0,0.04297987400581414,0.17773442015345495
Death Receptor Activity (GO:0005035),11,0.10795199006718414,0.052939751649982825,0.05501223841720132,84587.0,0.04368343754814452,0.17958746547570525
Phosphatidylinositol-4-Phosphate Binding (GO:0070273),24,0.08605980147413744,0.052935947338161135,0.03312385413597631,170439.0,0.04517427012767884,0.18420615572265114
Lipase Activity (GO:0016298),41,0.08256562448176274,0.05292840803641763,0.029637216445345116,279337.0,0.045453825958847026,0.18420615572265114
Transforming Growth Factor Beta Receptor Binding (GO:0005160),18,0.1085178547696185,0.052947179327972035,0.05557067544164647,131119.0,0.045592988756388765,0.18420615572265114
WW Domain Binding (GO:0050699),20,0.07221999910040333,0.052947179327972035,0.019272819772431296,144206.0,0.04597805345683787,0.1847004090294687
Voltage-Gated Potassium Channel Activity Involved In Ventricular Cardiac Muscle Cell Action Potential Repolarization (GO:1902282),11,0.08751601773621642,0.052961612414394565,0.03455440532182186,84251.0,0.0464926515448536,0.18570644338654593
Ribonucleoside Triphosphate Phosphatase Activity (GO:0017111),266,0.06095297362758728,0.05278780062296501,0.008165173004622273,1634484.5,0.04746343448696338,0.18605599468549974
Cysteine-Type Endopeptidase Inhibitor Activity (GO:0004869),22,0.0901433457569295,0.052939530131300996,0.03720381562562851,157004.5,0.047671957564508455,0.18605599468549974
Peptidase Inhibitor Activity (GO:0030414),37,0.0897800717514472,0.05293930861261917,0.03684076313882803,253409.0,0.04786743712487969,0.18605599468549974
Calcium-Dependent Phospholipid Binding (GO:0005544),46,0.07835129157211913,0.05290512953733484,0.025446162034784295,310362.0,0.04796363723858237,0.18605599468549974
